date,symbol,open,high,low,close,volume,asset_type,fetched_at
2001-08-01,CL=F,26.649999618530273,26.850000381469727,26.329999923706055,26.770000457763672,72772,commodity,2026-04-10T11:50:29.583829
2001-08-02,CL=F,27.5,27.899999618530273,27.350000381469727,27.709999084472656,82555,commodity,2026-04-10T11:50:29.584901
2001-08-03,CL=F,27.549999237060547,27.799999237060547,27.399999618530273,27.6200008392334,53006,commodity,2026-04-10T11:50:29.585047
2001-08-06,CL=F,27.600000381469727,27.790000915527344,27.3799991607666,27.739999771118164,37371,commodity,2026-04-10T11:50:29.585156
2001-08-07,CL=F,28.399999618530273,28.399999618530273,27.899999618530273,27.940000534057617,68661,commodity,2026-04-10T11:50:29.585255
2001-08-08,CL=F,28.149999618530273,28.239999771118164,27.5,27.540000915527344,65167,commodity,2026-04-10T11:50:29.585349
2001-08-09,CL=F,27.450000762939453,27.719999313354492,27.3799991607666,27.639999389648438,50368,commodity,2026-04-10T11:50:29.585442
2001-08-10,CL=F,27.780000686645508,28.420000076293945,27.719999313354492,28.049999237060547,70358,commodity,2026-04-10T11:50:29.585534
2001-08-13,CL=F,28.170000076293945,28.25,27.700000762939453,27.81999969482422,52473,commodity,2026-04-10T11:50:29.585790
2001-08-14,CL=F,27.81999969482422,28.049999237060547,27.700000762939453,28.010000228881836,48980,commodity,2026-04-10T11:50:29.586131
2001-08-15,CL=F,28.200000762939453,28.25,27.420000076293945,27.559999465942383,79697,commodity,2026-04-10T11:50:29.586346
2001-08-16,CL=F,27.56999969482422,27.600000381469727,27.149999618530273,27.450000762939453,70918,commodity,2026-04-10T11:50:29.586463
2001-08-17,CL=F,27.329999923706055,27.399999618530273,26.549999237060547,26.6299991607666,61936,commodity,2026-04-10T11:50:29.586558
2001-08-20,CL=F,26.649999618530273,27.25,26.350000381469727,27.18000030517578,53562,commodity,2026-04-10T11:50:29.586676
2001-08-21,CL=F,27.100000381469727,28.100000381469727,27.100000381469727,27.850000381469727,99270,commodity,2026-04-10T11:50:29.586768
2001-08-22,CL=F,27.1200008392334,27.25,26.350000381469727,26.3700008392334,93777,commodity,2026-04-10T11:50:29.586854
2001-08-23,CL=F,26.549999237060547,26.719999313354492,26.280000686645508,26.6299991607666,59594,commodity,2026-04-10T11:50:29.586939
2001-08-24,CL=F,26.700000762939453,27.149999618530273,26.6299991607666,26.899999618530273,79958,commodity,2026-04-10T11:50:29.587024
2001-08-27,CL=F,27.049999237060547,27.06999969482422,26.440000534057617,26.670000076293945,58962,commodity,2026-04-10T11:50:29.587110
2001-08-28,CL=F,26.649999618530273,27.3799991607666,26.510000228881836,27.170000076293945,71885,commodity,2026-04-10T11:50:29.587194
2001-08-29,CL=F,27.350000381469727,27.600000381469727,26.770000457763672,27.049999237060547,81961,commodity,2026-04-10T11:50:29.587277
2001-08-30,CL=F,26.850000381469727,27.020000457763672,26.520000457763672,26.549999237060547,3185,commodity,2026-04-10T11:50:29.587359
2001-08-31,CL=F,26.700000762939453,27.25,26.6200008392334,27.200000762939453,47548,commodity,2026-04-10T11:50:29.587443
2001-09-04,CL=F,27.049999237060547,27.139999389648438,26.760000228881836,26.93000030517578,55640,commodity,2026-04-10T11:50:29.587527
2001-09-05,CL=F,26.829999923706055,27.229999542236328,26.760000228881836,26.950000762939453,60595,commodity,2026-04-10T11:50:29.587631
2001-09-06,CL=F,27.149999618530273,27.649999618530273,27.049999237060547,27.579999923706055,87936,commodity,2026-04-10T11:50:29.587721
2001-09-07,CL=F,27.600000381469727,28.149999618530273,27.43000030517578,28.030000686645508,98291,commodity,2026-04-10T11:50:29.587889
2001-09-10,CL=F,27.75,28.0,27.56999969482422,27.6299991607666,0,commodity,2026-04-10T11:50:29.588034
2001-09-14,CL=F,29.979999542236328,29.979999542236328,29.450000762939453,29.530000686645508,0,commodity,2026-04-10T11:50:29.588300
2001-09-17,CL=F,27.0,29.25,28.299999237060547,28.809999465942383,101804,commodity,2026-04-10T11:50:29.588436
2001-09-18,CL=F,28.0,28.799999237060547,27.600000381469727,27.700000762939453,69950,commodity,2026-04-10T11:50:29.588538
2001-09-19,CL=F,27.31999969482422,27.5,25.799999237060547,26.719999313354492,6135,commodity,2026-04-10T11:50:29.588731
2001-09-20,CL=F,26.700000762939453,27.0,25.899999618530273,26.59000015258789,27931,commodity,2026-04-10T11:50:29.588888
2001-09-21,CL=F,26.450000762939453,26.799999237060547,25.899999618530273,25.969999313354492,97581,commodity,2026-04-10T11:50:29.588995
2001-09-24,CL=F,23.899999618530273,24.0,21.799999237060547,22.010000228881836,108959,commodity,2026-04-10T11:50:29.589090
2001-09-25,CL=F,22.950000762939453,23.149999618530273,21.25,21.809999465942383,90612,commodity,2026-04-10T11:50:29.589183
2001-09-26,CL=F,21.399999618530273,22.5,20.299999237060547,22.3799991607666,3731,commodity,2026-04-10T11:50:29.589273
2001-09-27,CL=F,22.299999237060547,22.940000534057617,21.950000762939453,22.739999771118164,56833,commodity,2026-04-10T11:50:29.589361
