Year,Crude_Oil_Nominal_Average,Crude_Oil_Nominal_Brent,Crude_Oil_Nominal_Dubai,Crude_Oil_Nominal_WTI,Crude_Oil_Real_Average,Crude_Oil_Real_Brent,Crude_Oil_Real_Dubai,Crude_Oil_Real_WTI
1970,1.21,1.21,1.21,,5.82,5.82,5.82,
1971,1.69,1.69,1.69,,5.21,5.21,5.21,
1972,1.82,1.82,1.82,,6.92,6.92,6.92,
1973,2.81,2.81,2.81,,6.83,6.83,6.83,
1974,10.97,10.97,10.97,,9.09,9.09,9.09,
1975,11.15,11.15,11.15,,8.42,8.42,8.42,
1976,12.22,12.22,12.22,,8.76,8.76,8.76,
1977,13.91,13.91,13.91,,9.28,9.28,9.28,
1978,14.00,14.00,14.00,,8.58,8.58,8.58,
1979,31.61,32.11,29.82,,16.39,16.39,16.39,
1980,36.68,36.83,34.00,39.21,16.32,16.39,15.12,17.44
1981,35.24,35.93,32.87,36.75,14.10,14.38,13.15,14.71
1982,32.86,33.05,30.81,34.54,12.32,12.39,11.55,12.95
1983,29.62,30.13,27.54,31.45,10.62,10.81,9.88,11.29
1984,28.57,28.93,27.07,29.85,9.90,10.03,9.38,10.34
1985,26.92,27.56,24.90,28.36,9.07,9.29,8.39,9.56
1986,14.45,14.93,13.10,15.61,4.93,5.09,4.47,5.33
1987,17.93,18.44,16.87,19.04,5.77,5.93,5.43,6.13
1988,14.73,15.04,13.40,16.03,4.48,4.57,4.08,4.88
1989,17.94,18.21,16.22,19.39,5.08,5.16,4.60,5.49
1990,23.27,23.73,20.46,25.82,6.16,6.28,5.42,6.83
1991,19.86,20.05,16.63,22.63,4.98,5.03,4.17,5.67
1992,19.23,19.32,16.40,21.63,4.71,4.73,4.01,5.29
1993,16.86,17.02,14.19,18.44,4.01,4.05,3.38,4.39
1994,15.71,15.86,13.82,17.20,3.64,3.67,3.20,3.98
1995,17.18,17.12,15.48,18.82,3.88,3.87,3.50,4.26
1996,20.42,20.65,18.54,22.07,4.48,4.52,4.06,4.83
1997,19.17,19.09,18.10,20.33,5.03,5.01,4.75,5.33
1998,13.06,12.72,12.13,14.35,4.76,4.74,4.52,5.36
1999,18.07,17.81,17.16,19.24,3.35,3.30,3.18,3.55
2000,28.23,28.27,26.08,30.33,4.48,4.49,4.14,4.82
